signal,ranking_method,sigma_rel,noise_replicate,ic_strategy,dimension,n_equations,q010,q025,q050,q075,q090,le_0_count,le_0_rate,le_1_count,le_1_rate,le_2_count,le_2_rate,le_3_count,le_3_rate,le_5_count,le_5_rate,le_10_count,le_10_rate
fd,forward,0.01,3,ic1_ic2,4,4,3.0000000000000004,7.5,14.5,19.75,21.1,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,2,0.5
fd,forward,0.01,3,ic2,1,11,0.0,1.5,3.0,4.0,4.0,2,0.18181818181818182,3,0.2727272727272727,4,0.36363636363636365,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.01,3,ic2,2,20,0.0,0.0,1.0,6.0,8.100000000000001,9,0.45,11,0.55,12,0.6,14,0.7,14,0.7,20,1.0
fd,forward,0.01,3,ic2,3,24,0.0,0.0,0.0,7.25,16.0,15,0.625,16,0.6666666666666666,17,0.7083333333333334,17,0.7083333333333334,17,0.7083333333333334,20,0.8333333333333334
fd,forward,0.01,3,ic2,4,4,0.6000000000000001,1.5,5.5,11.5,16.0,1,0.25,1,0.25,2,0.5,2,0.5,2,0.5,3,0.75
fd,forward,0.01,4,ic1,1,11,0.0,0.5,3.0,4.0,4.0,3,0.2727272727272727,4,0.36363636363636365,4,0.36363636363636365,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.01,4,ic1,2,20,0.0,0.0,0.0,3.25,7.100000000000001,13,0.65,13,0.65,13,0.65,15,0.75,16,0.8,20,1.0
fd,forward,0.01,4,ic1,3,24,0.0,0.0,0.0,8.25,16.0,13,0.5416666666666666,14,0.5833333333333334,15,0.625,16,0.6666666666666666,16,0.6666666666666666,19,0.7916666666666666
fd,forward,0.01,4,ic1,4,4,2.7,6.75,11.0,14.25,16.5,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,2,0.5
fd,forward,0.01,4,ic1_ic2,1,11,0.0,0.5,3.0,4.0,4.0,3,0.2727272727272727,5,0.45454545454545453,5,0.45454545454545453,7,0.6363636363636364,11,1.0,11,1.0
fd,forward,0.01,4,ic1_ic2,2,20,0.0,0.0,0.0,1.5,6.0,14,0.7,15,0.75,15,0.75,16,0.8,17,0.85,20,1.0
fd,forward,0.01,4,ic1_ic2,3,24,0.0,0.0,0.0,1.25,16.0,17,0.7083333333333334,18,0.75,19,0.7916666666666666,20,0.8333333333333334,20,0.8333333333333334,20,0.8333333333333334
